#start1	start2	end1	end2	size2	name2
5551	17178	5600	17227	30101	NODE_1_length_30101_cov_1.004900
2302493	17192	2302530	17229	30101	NODE_1_length_30101_cov_1.004900
54143	221	54209	287	30101	NODE_1_length_30101_cov_1.004900
54278	359	54316	397	30101	NODE_1_length_30101_cov_1.004900
54405	500	54453	548	30101	NODE_1_length_30101_cov_1.004900
54452	546	54532	626	30101	NODE_1_length_30101_cov_1.004900
54554	650	54612	708	30101	NODE_1_length_30101_cov_1.004900
54749	849	54813	913	30101	NODE_1_length_30101_cov_1.004900
54827	932	54879	984	30101	NODE_1_length_30101_cov_1.004900
54955	1064	54996	1105	30101	NODE_1_length_30101_cov_1.004900
55007	1114	55049	1156	30101	NODE_1_length_30101_cov_1.004900
55118	1235	55207	1324	30101	NODE_1_length_30101_cov_1.004900
55234	1360	55305	1431	30101	NODE_1_length_30101_cov_1.004900
55315	1439	55386	1510	30101	NODE_1_length_30101_cov_1.004900
55444	1570	55480	1606	30101	NODE_1_length_30101_cov_1.004900
55485	1608	55583	1706	30101	NODE_1_length_30101_cov_1.004900
55620	1746	55768	1894	30101	NODE_1_length_30101_cov_1.004900
55785	1913	55832	1960	30101	NODE_1_length_30101_cov_1.004900
55881	2015	55955	2089	30101	NODE_1_length_30101_cov_1.004900
55948	2079	56039	2170	30101	NODE_1_length_30101_cov_1.004900
56095	2226	56166	2297	30101	NODE_1_length_30101_cov_1.004900
56197	2339	56265	2407	30101	NODE_1_length_30101_cov_1.004900
56290	2430	56323	2463	30101	NODE_1_length_30101_cov_1.004900
56319	2461	56357	2499	30101	NODE_1_length_30101_cov_1.004900
56409	2546	56465	2602	30101	NODE_1_length_30101_cov_1.004900
56467	2602	56506	2641	30101	NODE_1_length_30101_cov_1.004900
56507	2643	56660	2796	30101	NODE_1_length_30101_cov_1.004900
56661	2798	56703	2840	30101	NODE_1_length_30101_cov_1.004900
56697	2835	56752	2890	30101	NODE_1_length_30101_cov_1.004900
56870	3015	56937	3082	30101	NODE_1_length_30101_cov_1.004900
57011	3164	57119	3272	30101	NODE_1_length_30101_cov_1.004900
57152	3304	57188	3340	30101	NODE_1_length_30101_cov_1.004900
57183	3333	57238	3388	30101	NODE_1_length_30101_cov_1.004900
57243	3396	57382	3535	30101	NODE_1_length_30101_cov_1.004900
57368	3522	57427	3581	30101	NODE_1_length_30101_cov_1.004900
57422	3575	57510	3663	30101	NODE_1_length_30101_cov_1.004900
57569	3712	57663	3806	30101	NODE_1_length_30101_cov_1.004900
57661	3807	57849	3995	30101	NODE_1_length_30101_cov_1.004900
57839	3986	57906	4053	30101	NODE_1_length_30101_cov_1.004900
57903	4051	57959	4107	30101	NODE_1_length_30101_cov_1.004900
58015	4168	58050	4203	30101	NODE_1_length_30101_cov_1.004900
58054	4210	58109	4265	30101	NODE_1_length_30101_cov_1.004900
58148	4311	58190	4353	30101	NODE_1_length_30101_cov_1.004900
58216	4378	58288	4450	30101	NODE_1_length_30101_cov_1.004900
58475	4635	58550	4710	30101	NODE_1_length_30101_cov_1.004900
58577	4736	58695	4854	30101	NODE_1_length_30101_cov_1.004900
58694	4854	58736	4896	30101	NODE_1_length_30101_cov_1.004900
58746	4907	58783	4944	30101	NODE_1_length_30101_cov_1.004900
58861	5023	58901	5063	30101	NODE_1_length_30101_cov_1.004900
58902	5065	59002	5165	30101	NODE_1_length_30101_cov_1.004900
58989	5151	59040	5202	30101	NODE_1_length_30101_cov_1.004900
59323	5495	59362	5534	30101	NODE_1_length_30101_cov_1.004900
59357	5532	59467	5642	30101	NODE_1_length_30101_cov_1.004900
59492	5671	59533	5712	30101	NODE_1_length_30101_cov_1.004900
59540	5720	59582	5762	30101	NODE_1_length_30101_cov_1.004900
59626	5810	59664	5848	30101	NODE_1_length_30101_cov_1.004900
59662	5851	59733	5922	30101	NODE_1_length_30101_cov_1.004900
59740	5930	59793	5983	30101	NODE_1_length_30101_cov_1.004900
59817	6013	59852	6048	30101	NODE_1_length_30101_cov_1.004900
59875	6073	59930	6128	30101	NODE_1_length_30101_cov_1.004900
59954	6159	60009	6214	30101	NODE_1_length_30101_cov_1.004900
60076	6283	60117	6324	30101	NODE_1_length_30101_cov_1.004900
60139	6350	60197	6408	30101	NODE_1_length_30101_cov_1.004900
60275	6489	60311	6525	30101	NODE_1_length_30101_cov_1.004900
60311	6527	60345	6561	30101	NODE_1_length_30101_cov_1.004900
60365	6583	60532	6750	30101	NODE_1_length_30101_cov_1.004900
60526	6745	60595	6814	30101	NODE_1_length_30101_cov_1.004900
60593	6813	60627	6847	30101	NODE_1_length_30101_cov_1.004900
60682	6913	60718	6949	30101	NODE_1_length_30101_cov_1.004900
60712	6946	60762	6996	30101	NODE_1_length_30101_cov_1.004900
60782	7018	60892	7128	30101	NODE_1_length_30101_cov_1.004900
60977	7231	61050	7304	30101	NODE_1_length_30101_cov_1.004900
61055	7313	61132	7390	30101	NODE_1_length_30101_cov_1.004900
61153	7414	61241	7502	30101	NODE_1_length_30101_cov_1.004900
61305	7567	61395	7657	30101	NODE_1_length_30101_cov_1.004900
61452	7716	61493	7757	30101	NODE_1_length_30101_cov_1.004900
61500	7763	61551	7814	30101	NODE_1_length_30101_cov_1.004900
61548	7812	61599	7863	30101	NODE_1_length_30101_cov_1.004900
61601	7866	61636	7901	30101	NODE_1_length_30101_cov_1.004900
61638	7909	61700	7971	30101	NODE_1_length_30101_cov_1.004900
61885	8159	61967	8241	30101	NODE_1_length_30101_cov_1.004900
61975	8251	62030	8306	30101	NODE_1_length_30101_cov_1.004900
62039	8317	62084	8362	30101	NODE_1_length_30101_cov_1.004900
62122	8405	62155	8438	30101	NODE_1_length_30101_cov_1.004900
62155	8440	62225	8510	30101	NODE_1_length_30101_cov_1.004900
62305	8588	62360	8643	30101	NODE_1_length_30101_cov_1.004900
62376	8661	62408	8693	30101	NODE_1_length_30101_cov_1.004900
62410	8692	62487	8769	30101	NODE_1_length_30101_cov_1.004900
62487	8773	62643	8929	30101	NODE_1_length_30101_cov_1.004900
62657	8940	62755	9038	30101	NODE_1_length_30101_cov_1.004900
62830	9112	62872	9154	30101	NODE_1_length_30101_cov_1.004900
62912	9196	63088	9372	30101	NODE_1_length_30101_cov_1.004900
63162	9440	63294	9572	30101	NODE_1_length_30101_cov_1.004900
