#start1	start2	end1	end2	size2	name2
90811	1	91017	207	207	NODE_1_length_207_cov_0.592105
7170	1	7417	248	248	NODE_2_length_248_cov_1.362694
41139	1	41402	264	264	NODE_3_length_264_cov_2.234450
49287	1	49586	300	300	NODE_4_length_300_cov_0.918367
53572	1	54003	432	432	NODE_5_length_432_cov_1.153846
10163	1	10615	453	453	NODE_6_length_453_cov_1.806533
81025	1	81235	211	211	NODE_7_length_211_cov_0.865385
92233	1	92591	359	359	NODE_8_length_359_cov_0.960526
32281	1	32678	398	398	NODE_9_length_398_cov_0.909621
2793	1	3051	259	259	NODE_10_length_259_cov_1.382353
88623	1	89705	1083	1083	NODE_11_length_1083_cov_1.457198
9532	1	9740	209	209	NODE_12_length_209_cov_1.168831
3561	1	3805	245	245	NODE_13_length_245_cov_0.815789
9195	1	9424	230	230	NODE_14_length_230_cov_1.182857
67082	1	67312	231	231	NODE_15_length_231_cov_2.125000
37408	1	38096	689	689	NODE_16_length_689_cov_1.503155
46968	1	47242	275	275	NODE_17_length_275_cov_1.609091
3218	1	3558	341	341	NODE_18_length_341_cov_1.716783
41387	1	41665	279	279	NODE_19_length_279_cov_0.950893
12483	1	12856	374	374	NODE_20_length_374_cov_1.329154
2656371	150	2656501	280	374	NODE_20_length_374_cov_1.329154
53210	1	53582	373	373	NODE_21_length_373_cov_1.301887
31579	1	31839	261	261	NODE_22_length_261_cov_1.466019
2109	1	2379	271	271	NODE_23_length_271_cov_0.652778
54238	1	54476	239	239	NODE_24_length_239_cov_0.951087
33664	1	34081	418	418	NODE_25_length_418_cov_1.451791
55754	1	56388	635	635	NODE_26_length_635_cov_2.018966
70258	1	70554	297	297	NODE_27_length_297_cov_1.409091
42336	1	42686	351	351	NODE_28_length_351_cov_1.064189
97495	1	97790	296	296	NODE_29_length_296_cov_1.589212
34838	1	35072	235	235	NODE_30_length_235_cov_0.905556
75070	1	75420	351	351	NODE_31_length_351_cov_1.331081
15377	1	16785	1409	1409	NODE_32_length_1409_cov_1.864106
607219	44	607255	80	1409	NODE_32_length_1409_cov_1.864106
8474	1	9015	542	542	NODE_33_length_542_cov_1.763860
75720	1	75981	262	262	NODE_34_length_262_cov_1.642512
13518	1	13752	235	235	NODE_35_length_235_cov_1.216667
74220	1	74517	298	298	NODE_36_length_298_cov_1.065844
62800	1	63526	727	727	NODE_37_length_727_cov_1.296131
59343	1	59569	227	227	NODE_38_length_227_cov_1.197674
50966	1	51337	372	372	NODE_39_length_372_cov_1.097792
